Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Income,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,128.0,360.0,1.0,0,6091.0,0,1,1,0,1,0,0
0,66.0,360.0,1.0,1,3000.0,0,1,1,0,0,0,1
0,120.0,360.0,1.0,1,4941.0,0,1,0,1,0,0,1
0,141.0,360.0,1.0,1,6000.0,1,0,1,0,0,0,1
2,267.0,360.0,1.0,1,9613.0,0,1,1,0,0,0,1
0,95.0,360.0,1.0,1,3849.0,0,1,0,1,0,0,1
3,158.0,360.0,0.0,0,5540.0,0,1,1,0,0,1,0
2,168.0,360.0,1.0,1,5532.0,0,1,1,0,0,0,1
1,349.0,360.0,1.0,0,20000.0,0,1,1,0,0,1,0
2,70.0,360.0,1.0,1,3900.0,0,1,1,0,0,0,1
2,109.0,360.0,1.0,1,4340.0,0,1,1,0,0,0,1
2,200.0,360.0,1.0,1,11179.0,0,1,1,0,0,0,1
0,114.0,360.0,1.0,0,4693.0,1,0,1,0,1,0,0
2,17.0,120.0,1.0,1,2385.0,0,1,1,0,0,0,1
0,125.0,360.0,1.0,1,4950.0,1,0,1,0,0,0,1
0,76.0,360.0,0.0,0,3510.0,1,0,1,0,0,0,1
0,133.0,360.0,1.0,0,4887.0,0,1,0,1,1,0,0
0,104.0,360.0,0.0,0,7660.0,0,1,0,1,0,0,1
1,315.0,360.0,1.0,1,11580.0,0,1,1,0,0,0,1
0,116.0,360.0,0.0,0,4511.0,0,1,0,1,0,1,0
2,112.0,360.0,0.0,0,5282.0,0,1,0,1,1,0,0
0,191.0,360.0,1.0,1,9560.0,0,1,1,0,0,1,0
0,122.0,360.0,1.0,1,5052.0,0,1,1,0,0,1,0
2,110.0,360.0,1.0,1,5266.0,0,1,0,1,0,0,1
0,35.0,360.0,1.0,0,1442.0,1,0,0,1,0,0,1
2,120.0,360.0,1.0,1,5833.0,1,0,1,0,0,1,0
0,74.0,360.0,1.0,0,3167.0,1,0,1,0,0,0,1
1,106.0,360.0,1.0,0,4692.0,1,0,1,0,1,0,0
0,114.0,360.0,1.0,1,5167.0,0,1,1,0,0,1,0
3,320.0,360.0,1.0,0,15500.0,1,0,1,0,1,0,0
0,144.0,360.0,1.0,1,5126.0,0,1,1,0,0,1,0
0,184.0,360.0,1.0,1,11376.0,1,0,1,0,0,0,1
0,110.0,360.0,1.0,1,5416.0,1,0,0,1,0,1,0
0,80.0,360.0,1.0,0,3600.0,1,0,1,0,0,0,1
0,47.0,360.0,1.0,1,3013.0,1,0,1,0,0,0,1
0,134.0,360.0,1.0,1,6277.0,0,1,1,0,0,1,0
1,44.0,360.0,1.0,1,5649.0,0,1,1,0,0,0,1
0,144.0,360.0,1.0,1,5821.0,0,1,1,0,0,0,1
0,120.0,360.0,0.0,0,6085.0,0,1,1,0,0,0,1
0,144.0,360.0,1.0,1,6275.0,1,0,1,0,0,1,0
0,100.0,360.0,1.0,1,3572.0,0,1,0,1,0,1,0
0,120.0,360.0,1.0,1,3086.0,1,0,1,0,0,1,0
0,112.0,360.0,1.0,0,4230.0,1,0,1,0,0,1,0
2,134.0,360.0,1.0,0,4616.0,0,1,1,0,0,0,1
1,286.0,360.0,0.0,0,11500.0,0,1,1,0,0,0,1
2,97.0,360.0,1.0,1,3875.0,0,1,1,0,0,1,0
0,96.0,360.0,1.0,1,3723.0,0,1,1,0,0,1,0
0,135.0,360.0,1.0,0,5566.0,0,1,1,0,1,0,0
1,180.0,360.0,1.0,1,10330.0,0,1,1,0,0,0,1
2,144.0,360.0,1.0,1,6216.0,0,1,0,1,0,0,1
0,120.0,360.0,1.0,1,6296.0,0,1,1,0,0,0,1
3,99.0,360.0,1.0,1,3029.0,0,1,1,0,0,0,1
0,165.0,180.0,0.0,0,6058.0,0,1,0,1,1,0,0
0,116.0,360.0,0.0,0,4166.0,1,0,1,0,0,1,0
0,258.0,360.0,1.0,0,10321.0,0,1,1,0,0,1,0
0,126.0,180.0,0.0,0,5454.0,1,0,0,1,0,0,1
1,312.0,360.0,1.0,1,10750.0,0,1,1,0,0,0,1
3,125.0,60.0,1.0,1,7100.0,0,1,0,1,0,0,1
0,136.0,360.0,0.0,0,4300.0,1,0,1,0,0,1,0
0,172.0,360.0,1.0,1,6274.0,0,1,1,0,0,0,1
2,97.0,360.0,1.0,1,3750.0,0,1,0,1,0,1,0
0,81.0,300.0,1.0,1,3500.0,1,0,1,0,0,1,0
3,187.0,360.0,1.0,1,7040.0,0,1,1,0,0,1,0
0,113.0,480.0,1.0,0,3750.0,1,0,1,0,0,0,1
0,176.0,360.0,1.0,0,8500.0,1,0,1,0,0,0,1
1,110.0,360.0,1.0,0,4022.0,0,1,1,0,0,0,1
3,180.0,300.0,0.0,0,7167.0,0,1,1,0,0,1,0
0,111.0,360.0,1.0,1,3846.0,1,0,1,0,0,1,0
2,167.0,360.0,1.0,0,3259.0,0,1,1,0,0,0,1
1,50.0,240.0,1.0,1,3988.0,0,1,1,0,0,0,1
0,136.0,360.0,1.0,1,4897.0,1,0,1,0,0,1,0
0,104.0,360.0,1.0,1,4618.0,0,1,1,0,0,1,0
0,210.0,360.0,1.0,1,8566.0,1,0,1,0,0,0,1
0,175.0,360.0,1.0,1,9862.0,0,1,1,0,0,1,0
0,131.0,360.0,1.0,1,5858.0,0,1,1,0,0,1,0
2,188.0,180.0,1.0,1,11904.0,0,1,1,0,0,1,0
2,81.0,360.0,1.0,1,5093.0,0,1,0,1,0,0,1
0,122.0,360.0,1.0,1,4133.0,1,0,1,0,0,1,0
0,25.0,120.0,1.0,1,3620.0,1,0,0,1,0,1,0
0,137.0,360.0,1.0,1,4786.0,0,1,1,0,0,1,0
0,50.0,360.0,1.0,1,2974.0,0,1,1,0,0,1,0
0,115.0,180.0,1.0,1,4188.0,0,1,0,1,0,1,0
0,131.0,360.0,1.0,1,5300.0,0,1,1,0,0,1,0
2,133.0,180.0,1.0,1,7551.0,0,1,0,1,0,0,1
0,151.0,360.0,1.0,1,8649.0,1,0,1,0,0,1,0
1,100.0,360.0,1.0,1,4082.0,0,1,1,0,0,0,1
2,225.0,360.0,1.0,1,12543.0,0,1,1,0,0,0,1
0,120.0,360.0,1.0,0,7333.0,1,0,0,1,1,0,0
2,216.0,360.0,0.0,0,7400.0,0,1,1,0,0,0,1
3,94.0,480.0,1.0,1,2825.0,0,1,0,1,0,1,0
0,136.0,360.0,1.0,1,5316.0,1,0,1,0,0,0,1
0,139.0,360.0,1.0,1,5262.0,0,1,1,0,0,1,0
0,118.0,360.0,1.0,1,5050.0,1,0,1,0,0,1,0
1,185.0,180.0,1.0,1,14583.0,0,1,1,0,1,0,0
0,154.0,360.0,1.0,1,5450.0,0,1,1,0,0,1,0
0,175.0,360.0,1.0,0,7710.0,0,1,1,0,1,0,0
0,259.0,360.0,1.0,1,10408.0,1,0,1,0,0,0,1
0,44.0,360.0,1.0,1,4166.0,1,0,1,0,0,1,0
0,137.0,360.0,0.0,1,11117.0,1,0,1,0,0,1,0
2,81.0,360.0,1.0,1,2957.0,0,1,1,0,0,1,0
0,194.0,360.0,1.0,1,6314.0,0,1,0,1,1,0,0
3,370.0,360.0,1.0,1,20000.0,0,1,1,0,1,0,0
1,160.0,180.0,0.0,0,14363.0,0,1,1,0,0,0,1
0,74.0,360.0,1.0,1,3943.0,1,0,1,0,0,0,1
0,70.0,360.0,1.0,1,2718.0,1,0,1,0,0,1,0
0,25.0,120.0,1.0,1,3459.0,0,1,1,0,0,1,0
0,102.0,360.0,1.0,1,4895.0,1,0,1,0,0,1,0
3,290.0,360.0,1.0,0,11750.0,0,1,1,0,0,1,0
0,84.0,360.0,1.0,0,4583.0,0,1,1,0,1,0,0
2,88.0,360.0,1.0,1,6816.0,0,1,1,0,0,0,1
0,242.0,360.0,0.0,0,14999.0,1,0,1,0,0,1,0
2,129.0,360.0,1.0,0,5630.0,0,1,0,1,1,0,0
2,185.0,360.0,1.0,0,7125.0,0,1,1,0,1,0,0
0,168.0,360.0,1.0,1,5417.0,1,0,1,0,0,0,1
0,175.0,180.0,1.0,1,6950.0,1,0,1,0,0,1,0
0,122.0,360.0,1.0,1,4732.0,0,1,1,0,0,1,0
2,187.0,180.0,1.0,1,11757.0,0,1,1,0,0,0,1
0,100.0,360.0,1.0,1,6816.0,0,1,1,0,0,1,0
2,70.0,360.0,1.0,1,14866.0,0,1,1,0,0,0,1
1,30.0,360.0,1.0,1,2963.0,0,1,1,0,0,0,1
0,225.0,360.0,1.0,0,11666.0,1,0,1,0,1,0,0
0,125.0,360.0,1.0,1,5690.0,0,1,1,0,0,1,0
0,118.0,360.0,0.0,0,6277.0,1,0,1,0,1,0,0
0,152.0,360.0,1.0,1,6327.0,0,1,1,0,1,0,0
0,244.0,360.0,1.0,0,9166.0,1,0,1,0,0,0,1
2,113.0,360.0,1.0,0,2281.0,0,1,0,1,1,0,0
0,50.0,360.0,1.0,1,3254.0,1,0,1,0,0,0,1
3,600.0,180.0,0.0,1,20000.0,0,1,1,0,0,1,0
1,187.0,360.0,1.0,1,9538.0,0,1,1,0,0,0,1
0,120.0,360.0,1.0,1,5063.0,1,0,1,0,1,0,0
0,255.0,360.0,1.0,1,10208.0,0,1,1,0,0,1,0
0,98.0,360.0,1.0,1,2904.0,0,1,0,1,0,1,0
0,275.0,360.0,1.0,0,7933.0,0,1,1,0,0,0,1
1,121.0,360.0,0.0,0,4369.0,0,1,1,0,0,1,0
2,158.0,360.0,1.0,1,5614.0,0,1,1,0,1,0,0
0,75.0,180.0,1.0,1,9323.0,0,1,1,0,0,0,1
0,112.0,360.0,1.0,0,4583.0,0,1,1,0,1,0,0
0,129.0,360.0,1.0,1,5772.0,0,1,1,0,1,0,0
0,63.0,480.0,0.0,0,2237.0,1,0,1,0,0,1,0
2,200.0,360.0,1.0,1,8000.0,0,1,1,0,0,1,0
0,95.0,360.0,1.0,1,3589.0,0,1,0,1,1,0,0
3,700.0,300.0,1.0,1,20000.0,0,1,1,0,0,0,1
3,81.0,180.0,1.0,0,3522.0,0,1,0,1,1,0,0
0,187.0,360.0,1.0,1,11333.0,0,1,1,0,0,1,0
0,87.0,360.0,1.0,0,5080.0,0,1,0,1,0,1,0
0,116.0,360.0,1.0,1,5461.0,0,1,1,0,1,0,0
2,101.0,360.0,1.0,1,3664.0,0,1,1,0,1,0,0
3,495.0,360.0,0.0,0,16816.0,0,1,1,0,0,1,0
1,116.0,360.0,1.0,1,3750.0,0,1,1,0,0,1,0
0,102.0,480.0,0.0,0,3784.0,1,0,0,1,0,0,1
1,180.0,360.0,0.0,0,13650.0,0,1,1,0,0,0,1
0,73.0,180.0,1.0,1,4600.0,0,1,1,0,0,1,0
1,260.0,360.0,1.0,0,20000.0,0,1,1,0,0,1,0
0,108.0,360.0,1.0,1,3625.0,0,1,1,0,0,1,0
0,120.0,360.0,1.0,1,20000.0,0,1,1,0,0,1,0
1,66.0,300.0,0.0,0,2178.0,0,1,1,0,1,0,0
0,168.0,360.0,1.0,1,5970.0,0,1,1,0,1,0,0
0,188.0,180.0,1.0,1,9328.0,0,1,1,0,1,0,0
0,48.0,360.0,1.0,1,4885.0,1,0,0,1,1,0,0
0,164.0,360.0,1.0,0,12000.0,1,0,1,0,0,1,0
0,160.0,360.0,1.0,0,6033.0,0,1,0,1,0,0,1
0,76.0,360.0,1.0,1,3858.0,1,0,1,0,0,1,0
0,120.0,360.0,1.0,1,4191.0,1,0,1,0,1,0,0
1,170.0,360.0,1.0,0,5708.0,0,1,1,0,0,1,0
0,187.0,360.0,1.0,1,12083.0,1,0,1,0,1,0,0
0,83.0,360.0,1.0,0,11000.0,1,0,1,0,0,0,1
1,90.0,360.0,1.0,1,5100.0,0,1,0,1,0,1,0
2,166.0,360.0,0.0,1,4923.0,1,0,1,0,0,1,0
1,135.0,360.0,1.0,1,4583.0,0,1,0,1,0,0,1
2,124.0,360.0,1.0,1,3917.0,0,1,0,1,0,1,0
0,120.0,360.0,1.0,1,4408.0,1,0,0,1,0,1,0
0,80.0,360.0,1.0,1,3244.0,1,0,1,0,0,0,1
0,55.0,360.0,1.0,1,6506.0,1,0,0,1,1,0,0
0,59.0,360.0,1.0,1,2479.0,1,0,1,0,0,0,1
0,127.0,360.0,1.0,0,3418.0,1,0,1,0,0,1,0
0,214.0,360.0,1.0,0,10000.0,1,0,1,0,0,1,0
3,128.0,360.0,0.0,0,4680.0,0,1,1,0,0,1,0
1,240.0,360.0,1.0,1,7787.0,0,1,1,0,0,0,1
3,130.0,360.0,1.0,1,5703.0,0,1,0,1,1,0,0
0,137.0,360.0,1.0,1,6194.0,0,1,1,0,0,0,1
3,100.0,360.0,1.0,1,4833.0,0,1,0,1,0,1,0
0,135.0,360.0,1.0,0,1950.0,0,1,1,0,1,0,0
0,131.0,360.0,1.0,1,5502.0,0,1,1,0,0,1,0
2,72.0,360.0,0.0,0,5000.0,0,1,1,0,0,1,0
0,60.0,360.0,0.0,0,2221.0,0,1,1,0,0,0,1
2,116.0,360.0,1.0,1,5726.0,0,1,1,0,0,1,0
0,144.0,360.0,1.0,1,5762.0,1,0,1,0,0,1,0
0,128.0,360.0,1.0,1,6250.0,0,1,1,0,0,1,0
0,170.0,360.0,1.0,0,3250.0,0,1,1,0,1,0,0
2,210.0,360.0,1.0,1,7945.0,0,1,1,0,0,1,0
0,200.0,360.0,1.0,1,6400.0,1,0,1,0,1,0,0
1,104.0,360.0,1.0,1,4545.0,0,1,1,0,0,1,0
0,42.0,180.0,1.0,1,3716.0,0,1,1,0,1,0,0
0,280.0,360.0,1.0,1,8333.0,1,0,1,0,0,1,0
1,140.0,360.0,1.0,1,4934.0,0,1,1,0,0,1,0
1,170.0,360.0,1.0,1,6760.0,0,1,1,0,1,0,0
1,112.0,360.0,1.0,1,3812.0,1,0,1,0,1,0,0
1,96.0,360.0,1.0,1,3315.0,0,1,1,0,0,1,0
2,120.0,360.0,1.0,1,10819.0,0,1,1,0,1,0,0
1,140.0,180.0,1.0,0,4493.0,0,1,0,1,0,0,1
0,155.0,60.0,1.0,1,8666.0,1,0,1,0,0,0,1
2,108.0,360.0,1.0,1,7550.0,0,1,1,0,1,0,0
0,123.0,360.0,1.0,1,7823.0,0,1,0,1,0,1,0
0,120.0,180.0,1.0,0,10383.0,1,0,1,0,0,0,1
2,112.0,360.0,1.0,1,9703.0,0,1,1,0,0,0,1
1,137.0,180.0,1.0,1,6608.0,0,1,0,1,0,0,1
1,123.0,480.0,1.0,1,4725.0,0,1,1,0,0,1,0
0,90.0,360.0,1.0,1,3677.0,0,1,1,0,0,0,1
0,201.0,360.0,0.0,0,5558.0,0,1,0,1,0,1,0
2,138.0,360.0,1.0,0,3427.0,1,0,1,0,0,0,1
0,104.0,360.0,1.0,1,4750.0,1,0,0,1,1,0,0
1,279.0,180.0,1.0,1,9762.0,0,1,0,1,0,1,0
0,192.0,360.0,0.0,0,16250.0,1,0,1,0,0,0,1
3,255.0,360.0,1.0,1,3083.0,1,0,1,0,1,0,0
0,115.0,360.0,0.0,0,6045.0,1,0,0,1,1,0,0
3,94.0,360.0,1.0,0,5250.0,0,1,1,0,0,0,1
0,304.0,360.0,1.0,0,16783.0,0,1,1,0,1,0,0
0,134.0,360.0,1.0,1,4269.0,1,0,1,0,0,1,0
1,155.0,36.0,1.0,0,3481.0,1,0,1,0,0,1,0
0,120.0,360.0,1.0,1,7200.0,1,0,1,0,1,0,0
0,128.0,360.0,1.0,1,5166.0,1,0,1,0,0,1,0
0,151.0,360.0,1.0,1,7542.0,1,0,1,0,1,0,0
2,150.0,360.0,1.0,1,6095.0,0,1,1,0,0,1,0
3,160.0,360.0,0.0,1,6144.0,0,1,1,0,0,0,1
0,135.0,360.0,1.0,0,3418.0,1,0,1,0,1,0,0
1,90.0,360.0,1.0,1,4436.0,1,0,1,0,0,0,1
0,30.0,360.0,1.0,1,3237.0,1,0,1,0,0,0,1
0,136.0,360.0,1.0,1,11146.0,0,1,1,0,0,0,1
0,126.0,360.0,1.0,1,4690.0,1,0,1,0,1,0,0
0,150.0,360.0,1.0,1,4843.0,0,1,1,0,0,1,0
2,90.0,360.0,1.0,1,3900.0,0,1,1,0,0,1,0
1,115.0,360.0,1.0,1,4592.0,0,1,1,0,0,1,0
0,207.0,360.0,1.0,1,7267.0,0,1,1,0,0,1,0
0,80.0,360.0,1.0,1,4403.0,0,1,1,0,0,0,1
0,436.0,360.0,1.0,1,14583.0,0,1,1,0,0,1,0
1,158.0,360.0,0.0,0,6479.0,1,0,0,1,0,0,1
0,112.0,360.0,1.0,1,4727.0,0,1,1,0,0,1,0
2,78.0,180.0,1.0,1,3286.7999878,0,1,1,0,0,0,1
0,54.0,360.0,1.0,1,3477.0,1,0,1,0,0,0,1
0,89.0,360.0,1.0,1,6211.0,1,0,1,0,1,0,0
0,99.0,300.0,1.0,0,4317.0,1,0,1,0,0,1,0
0,120.0,360.0,1.0,1,5704.0,0,1,1,0,1,0,0
0,115.0,360.0,1.0,1,4124.0,1,0,1,0,0,1,0
0,187.0,360.0,1.0,1,9508.0,1,0,1,0,1,0,0
0,139.0,360.0,1.0,1,5491.0,0,1,1,0,1,0,0
2,127.0,360.0,0.0,0,4400.0,0,1,1,0,0,1,0
2,134.0,360.0,1.0,1,4713.0,0,1,1,0,0,0,1
0,172.0,360.0,1.0,1,5717.0,0,1,1,0,0,1,0
3,110.0,360.0,1.0,1,5666.0,0,1,1,0,0,0,1
1,200.0,360.0,1.0,1,6875.0,0,1,1,0,0,1,0
1,135.0,360.0,1.0,1,4666.0,0,1,1,0,0,0,1
0,151.0,480.0,1.0,0,7541.0,1,0,1,0,1,0,0
1,113.0,360.0,1.0,0,4939.0,0,1,1,0,0,0,1
0,93.0,360.0,0.0,0,4734.0,0,1,0,1,0,0,1
0,132.0,360.0,1.0,1,5000.0,1,0,1,0,1,0,0
1,96.0,360.0,1.0,1,3428.0,0,1,1,0,0,0,1
